,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
72,Nelson Agholor,WR,1,1,2,18,18.0,0,18,0,18.0,0,0,18,1
73,Travis Benjamin,WR,3,1,2,17,17.0,0,17,0,5.7,0,0,5,1
74,Mike Thomas,WR,4,1,1,17,17.0,0,17,0,4.3,0,0,8,0
75,C.J. Goodwin,CB,1,1,1,16,16.0,0,16,0,16.0,0,0,8,1
76,Benny Snell Jr.,RB,1,2,2,16,8.0,0,11,0,16.0,0,0,14,2
77,Kyle Juszczyk,FB,3,2,3,15,7.5,0,10,0,5.0,0,0,6,0
78,Noah Gray,TE,3,2,4,14,7.0,0,8,0,4.7,0,0,5,1
79,Dontrell Hilliard,RB,1,3,3,13,4.3,0,5,0,13.0,0,0,4,1
80,Clyde Edwards-Helaire,RB,2,2,4,13,6.5,0,9,0,6.5,0,0,12,0
81,Tony Pollard,RB,1,2,2,12,6.0,0,10,0,12.0,0,0,14,1
82,Ben Skowronek,WR,4,2,6,12,6.0,0,7,0,3.0,0,0,7,0
83,Reggie Gilliam,FB,2,3,3,12,4.0,0,7,0,6.0,0,0,15,0
84,Miles Sanders,RB,1,3,3,12,4.0,0,6,0,12.0,0,0,8,0
85,O.J. Howard,TE,2,2,2,10,5.0,0,7,0,5.0,0,0,3,1
86,Ke'Shawn Vaughn,RB,2,2,2,9,4.5,0,5,0,4.5,0,0,10,0
87,Jordan Howard,RB,1,1,1,7,7.0,0,7,0,7.0,0,0,11,0
88,Damien Harris,RB,1,1,1,7,7.0,0,7,0,7.0,0,0,1,0
89,Malik Turner,WR,1,1,1,6,6.0,0,6,0,6.0,0,0,3,0
90,Allen Lazard,WR,1,1,1,6,6.0,0,6,0,6.0,0,0,0,1
91,JaMycal Hasty,RB,3,1,3,6,6.0,0,6,0,2.0,0,0,4,0
92,Breshad Perriman,WR,1,1,3,5,5.0,0,5,0,5.0,0,0,0,0
93,James Conner,RB,1,1,2,5,5.0,0,5,0,5.0,0,0,6,0
94,Jalen Richard,RB,1,1,2,4,4.0,0,4,0,4.0,0,0,8,0
95,Drew Sample,TE,4,1,2,4,4.0,0,4,0,1.0,0,0,0,0
96,Blake Bell,TE,3,1,1,3,3.0,0,3,0,1.0,0,0,4,0
97,Chester Rogers,WR,1,1,2,3,3.0,0,3,0,3.0,0,0,4,0
98,Chris Evans,RB,4,1,2,3,3.0,0,3,0,0.8,0,0,3,1
99,Darrell Daniels,TE,1,2,3,2,1.0,0,2,0,2.0,0,0,12,0
100,Jalen Reagor,WR,1,1,3,2,2.0,0,2,0,2.0,0,0,5,0
101,Boston Scott,RB,1,1,1,1,1.0,0,1,0,1.0,0,0,4,0
102,Nick Allegretti,G,3,1,1,1,1.0,1,1,0,0.3,0,0,0,1
103,Tommy Doyle,OT,2,1,1,1,1.0,1,1,0,0.5,0,0,0,1
104,Marcedes Lewis,TE,1,1,1,0,0.0,0,0,0,0.0,1,1,1,0
105,Matthew Stafford,QB,4,0,1,0,0.0,0,0,0,0.0,0,0,0,0
106,A.J. Green,WR,1,0,3,0,0.0,0,0,0,0.0,0,0,0,0
107,Randall Cobb,WR,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
108,Derek Watt,FB,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
109,Blake Jarwin,TE,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
