Joe Burrow,53.84
Travis Kelce,56.6
Joe Mixon,35.3
Miles Sanders,26.5
Dallas Goedert,24.1
Tyler Boyd,14.9
K.J. Osborn,10.0
Christian Kirk,41.8
T.J. Hockenson,22.9
Adam Thielen,8.0
Jauan Jennings,10.7
Kenneth Walker III,13.6
Trevor Lawrence,33.6
DK Metcalf,35.6
Patrick Mahomes,38.44
Tee Higgins,33.8
Austin Ekeler,18.3
JuJu Smith-Schuster,6.6
CeeDee Lamb,39.1
Saquon Barkley,38.1
Chris Godwin,18.5
Kadarius Toney,11.9
Travis Etienne Jr.,30.1
Daniel Jones,33.64
James Cook,11.2
Rachad White,0
Zay Jones,34.7
Tyler Lockett,9.9
Stefon Diggs,25.9
Josh Allen,39.24
DeVonta Smith,23.7
George Kittle,26.8
Dalvin Cook,13.0
Keenan Allen,12.1
Elijah Mitchell,15.8
Ezekiel Elliott,9.9
Dak Prescott,47.04
Mike Williams,0
Dalton Schultz,42.2
Evan Engram,30.4
Isaiah McKenzie,3.0
Lamar Jackson,0
Jalen Hurts,38.3
A.J. Brown,12.0
Justin Jefferson,11.62
Jerick McKinnon,6.3
Gabe Davis,28.7
Isiah Pacheco,24.6
Dawson Knox,22.5
Tony Pollard,17.2
Devin Singletary,16.0
Mecole Hardman,3.7
Marquez Valdes-Scantling,31.2
Kirk Cousins,25.82
Jaylen Waddle,8.2
Richie James,19.2
Christian McCaffrey,59.9
Ja'Marr Chase,54.3
Brock Purdy,43.16
Deebo Samuel,41.5
Brandon Aiyuk,16.9
Mike Evans,13.4
Leonard Fournette,2.7
Tom Brady,20.04
Justin Herbert,14.12
Hayden Hurst,33.1
Tyreek Hill,14.4
Gerald Everett,22.9
Julio Jones,20.4
Cade Otton,9.8
