Joe Burrow,40.04
Travis Kelce,35.8
Joe Mixon,28.9
Miles Sanders,9.0
Dallas Goedert,16.8
Tyler Boyd,8.9
K.J. Osborn,10.0
Christian Kirk,41.8
T.J. Hockenson,22.9
Adam Thielen,8.0
Jauan Jennings,10.7
Kenneth Walker III,13.6
Trevor Lawrence,33.6
DK Metcalf,35.6
Patrick Mahomes,16.6
Tee Higgins,13.5
Austin Ekeler,18.3
JuJu Smith-Schuster,4.9
CeeDee Lamb,39.1
Saquon Barkley,38.1
Chris Godwin,18.5
Kadarius Toney,10.0
Travis Etienne Jr.,30.1
Daniel Jones,33.64
James Cook,11.2
Rachad White,0
Zay Jones,34.7
Tyler Lockett,9.9
Stefon Diggs,25.9
Josh Allen,39.28
DeVonta Smith,18.1
George Kittle,20.2
Dalvin Cook,13.0
Keenan Allen,12.1
Elijah Mitchell,15.8
Ezekiel Elliott,9.9
Dak Prescott,47.04
Mike Williams,0
Dalton Schultz,42.2
Evan Engram,30.4
Isaiah McKenzie,3.0
Lamar Jackson,0
Jalen Hurts,23.56
A.J. Brown,5.2
Justin Jefferson,11.62
Jerick McKinnon,2.5
Gabe Davis,28.7
Isiah Pacheco,11.1
Dawson Knox,22.5
Tony Pollard,17.2
Devin Singletary,16.0
Mecole Hardman,0
Marquez Valdes-Scantling,7.6
Kirk Cousins,25.82
Jaylen Waddle,8.2
Richie James,19.2
Christian McCaffrey,39.3
Ja'Marr Chase,40.8
Brock Purdy,42.24
Deebo Samuel,38.1
Brandon Aiyuk,14.9
Mike Evans,13.4
Leonard Fournette,2.7
Tom Brady,20.04
Justin Herbert,14.12
Hayden Hurst,25.4
Tyreek Hill,14.4
Gerald Everett,22.9
Julio Jones,20.4
Cade Otton,9.8
